# Assembly name:  EquCab3.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA421018
# Submitter:      University of Louisville
# Date:           2018-01-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PJAA01
# Assembly method: Celera Assembler v. 2017; HiRise v. 2017
# Expected final version: yes
# Genome coverage: 88.0x
# Sequencing technology: Sanger; Illumina HiSeq; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002863925.1
# RefSeq assembly accession: GCF_002863925.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002863935.1	GCF_002863935.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr13	assembled-molecule	13	Chromosome	CM009160.1	=	NC_009156.3	Primary Assembly	43784481	na
chr14	assembled-molecule	14	Chromosome	CM009161.1	=	NC_009157.3	Primary Assembly	94600235	na
chr15	assembled-molecule	15	Chromosome	CM009162.1	=	NC_009158.3	Primary Assembly	92851403	na
chr16	assembled-molecule	16	Chromosome	CM009163.1	=	NC_009159.3	Primary Assembly	88962352	na
chr17	assembled-molecule	17	Chromosome	CM009164.1	=	NC_009160.3	Primary Assembly	80722430	na
chr18	assembled-molecule	18	Chromosome	CM009165.1	=	NC_009161.3	Primary Assembly	82641348	na
chr19	assembled-molecule	19	Chromosome	CM009166.1	=	NC_009162.3	Primary Assembly	62681739	na
chr20	assembled-molecule	20	Chromosome	CM009167.1	=	NC_009163.3	Primary Assembly	65343332	na
chr21	assembled-molecule	21	Chromosome	CM009168.1	=	NC_009164.3	Primary Assembly	58984458	na
chr22	assembled-molecule	22	Chromosome	CM009169.1	=	NC_009165.3	Primary Assembly	50928189	na
chr23	assembled-molecule	23	Chromosome	CM009170.1	=	NC_009166.3	Primary Assembly	55556184	na
chr24	assembled-molecule	24	Chromosome	CM009171.1	=	NC_009167.3	Primary Assembly	48288683	na
chr25	assembled-molecule	25	Chromosome	CM009172.1	=	NC_009168.3	Primary Assembly	40282968	na
chr26	assembled-molecule	26	Chromosome	CM009173.1	=	NC_009169.3	Primary Assembly	43147642	na
chr27	assembled-molecule	27	Chromosome	CM009174.1	=	NC_009170.3	Primary Assembly	40254690	na
chr28	assembled-molecule	28	Chromosome	CM009175.1	=	NC_009171.3	Primary Assembly	47348498	na
chr29	assembled-molecule	29	Chromosome	CM009176.1	=	NC_009172.3	Primary Assembly	34776120	na
chr30	assembled-molecule	30	Chromosome	CM009177.1	=	NC_009173.3	Primary Assembly	31395959	na
chr31	assembled-molecule	31	Chromosome	CM009178.1	=	NC_009174.3	Primary Assembly	26001039	na
chrX	assembled-molecule	X	Chromosome	CM009179.1	=	NC_009175.3	Primary Assembly	128206784	na
Contig0	unplaced-scaffold	na	na	PJAA01000033.1	=	NW_019641744.1	Primary Assembly	30006	na
Contig1	unplaced-scaffold	na	na	PJAA01000034.1	=	NW_019641745.1	Primary Assembly	11653	na
Contig2	unplaced-scaffold	na	na	PJAA01000035.1	=	NW_019642156.1	Primary Assembly	19743	na
Contig3	unplaced-scaffold	na	na	PJAA01000036.1	=	NW_019642539.1	Primary Assembly	11263	na
Contig4	unplaced-scaffold	na	na	PJAA01000037.1	=	NW_019643009.1	Primary Assembly	128022	na
Contig5	unplaced-scaffold	na	na	PJAA01000038.1	=	NW_019643576.1	Primary Assembly	14936	na
Contig6	unplaced-scaffold	na	na	PJAA01000039.1	=	NW_019644637.1	Primary Assembly	29936	na
Contig7	unplaced-scaffold	na	na	PJAA01000040.1	=	NW_019645675.1	Primary Assembly	7145	na
Contig8	unplaced-scaffold	na	na	PJAA01000041.1	=	NW_019645988.1	Primary Assembly	27066	na
Contig9	unplaced-scaffold	na	na	PJAA01000042.1	=	NW_019646253.1	Primary Assembly	22953	na
Contig10	unplaced-scaffold	na	na	PJAA01000043.1	=	NW_019641746.1	Primary Assembly	11563	na
Contig11	unplaced-scaffold	na	na	PJAA01000044.1	=	NW_019641790.1	Primary Assembly	12509	na
Contig12	unplaced-scaffold	na	na	PJAA01000045.1	=	NW_019641824.1	Primary Assembly	13836	na
Contig13	unplaced-scaffold	na	na	PJAA01000046.1	=	NW_019641872.1	Primary Assembly	11994	na
Contig14	unplaced-scaffold	na	na	PJAA01000047.1	=	NW_019641924.1	Primary Assembly	26568	na
Contig15	unplaced-scaffold	na	na	PJAA01000048.1	=	NW_019641957.1	Primary Assembly	13459	na
Contig16	unplaced-scaffold	na	na	PJAA01000049.1	=	NW_019641997.1	Primary Assembly	8528	na
Contig17	unplaced-scaffold	na	na	PJAA01000050.1	=	NW_019642038.1	Primary Assembly	10873	na
Contig18	unplaced-scaffold	na	na	PJAA01000051.1	=	NW_019642075.1	Primary Assembly	53700	na
Contig19	unplaced-scaffold	na	na	PJAA01000052.1	=	NW_019642119.1	Primary Assembly	10629	na
Contig20	unplaced-scaffold	na	na	PJAA01000053.1	=	NW_019642157.1	Primary Assembly	14383	na
Contig21	unplaced-scaffold	na	na	PJAA01000054.1	=	NW_019642195.1	Primary Assembly	5002	na
Contig22	unplaced-scaffold	na	na	PJAA01000055.1	=	NW_019642239.1	Primary Assembly	13499	na
Contig23	unplaced-scaffold	na	na	PJAA01000056.1	=	NW_019642281.1	Primary Assembly	12958	na
Contig24	unplaced-scaffold	na	na	PJAA01000057.1	=	NW_019642317.1	Primary Assembly	7860	na
Contig25	unplaced-scaffold	na	na	PJAA01000058.1	=	NW_019642359.1	Primary Assembly	8382	na
Contig26	unplaced-scaffold	na	na	PJAA01000059.1	=	NW_019642407.1	Primary Assembly	6024	na
Contig27	unplaced-scaffold	na	na	PJAA01000060.1	=	NW_019642443.1	Primary Assembly	6406	na
Contig28	unplaced-scaffold	na	na	PJAA01000061.1	=	NW_019642473.1	Primary Assembly	10900	na
Contig29	unplaced-scaffold	na	na	PJAA01000062.1	=	NW_019642505.1	Primary Assembly	15714	na
Contig30	unplaced-scaffold	na	na	PJAA01000063.1	=	NW_019642540.1	Primary Assembly	6918	na
Contig31	unplaced-scaffold	na	na	PJAA01000064.1	=	NW_019642576.1	Primary Assembly	10661	na
Contig32	unplaced-scaffold	na	na	PJAA01000065.1	=	NW_019642614.1	Primary Assembly	11661	na
Contig33	unplaced-scaffold	na	na	PJAA01000066.1	=	NW_019642649.1	Primary Assembly	7483	na
Contig34	unplaced-scaffold	na	na	PJAA01000067.1	=	NW_019642729.1	Primary Assembly	12509	na
Contig35	unplaced-scaffold	na	na	PJAA01000068.1	=	NW_019642799.1	Primary Assembly	9529	na
Contig36	unplaced-scaffold	na	na	PJAA01000069.1	=	NW_019642831.1	Primary Assembly	5589	na
Contig37	unplaced-scaffold	na	na	PJAA01000070.1	=	NW_019642870.1	Primary Assembly	10149	na
Contig38	unplaced-scaffold	na	na	PJAA01000071.1	=	NW_019642897.1	Primary Assembly	8191	na
Contig39	unplaced-scaffold	na	na	PJAA01000072.1	=	NW_019642956.1	Primary Assembly	6920	na
Contig40	unplaced-scaffold	na	na	PJAA01000073.1	=	NW_019643010.1	Primary Assembly	32480	na
Contig41	unplaced-scaffold	na	na	PJAA01000074.1	=	NW_019643052.1	Primary Assembly	7131	na
Contig42	unplaced-scaffold	na	na	PJAA01000075.1	=	NW_019643097.1	Primary Assembly	7549	na
Contig43	unplaced-scaffold	na	na	PJAA01000076.1	=	NW_019643151.1	Primary Assembly	6493	na
Contig44	unplaced-scaffold	na	na	PJAA01000077.1	=	NW_019643202.1	Primary Assembly	7502	na
Contig45	unplaced-scaffold	na	na	PJAA01000078.1	=	NW_019643240.1	Primary Assembly	9581	na
Contig46	unplaced-scaffold	na	na	PJAA01000079.1	=	NW_019643296.1	Primary Assembly	14171	na
Contig47	unplaced-scaffold	na	na	PJAA01000080.1	=	NW_019643330.1	Primary Assembly	21725	na
Contig48	unplaced-scaffold	na	na	PJAA01000081.1	=	NW_019643392.1	Primary Assembly	8070	na
Contig49	unplaced-scaffold	na	na	PJAA01000082.1	=	NW_019643477.1	Primary Assembly	7196	na
Contig50	unplaced-scaffold	na	na	PJAA01000083.1	=	NW_019643577.1	Primary Assembly	7288	na
Contig51	unplaced-scaffold	na	na	PJAA01000084.1	=	NW_019643678.1	Primary Assembly	5465	na
Contig52	unplaced-scaffold	na	na	PJAA01000085.1	=	NW_019643788.1	Primary Assembly	17787	na
Contig53	unplaced-scaffold	na	na	PJAA01000086.1	=	NW_019643895.1	Primary Assembly	23177	na
Contig54	unplaced-scaffold	na	na	PJAA01000087.1	=	NW_019643990.1	Primary Assembly	5610	na
Contig55	unplaced-scaffold	na	na	PJAA01000088.1	=	NW_019644094.1	Primary Assembly	19764	na
Contig56	unplaced-scaffold	na	na	PJAA01000089.1	=	NW_019644202.1	Primary Assembly	11878	na
Contig57	unplaced-scaffold	na	na	PJAA01000090.1	=	NW_019644307.1	Primary Assembly	11382	na
Contig58	unplaced-scaffold	na	na	PJAA01000091.1	=	NW_019644417.1	Primary Assembly	18981	na
Contig59	unplaced-scaffold	na	na	PJAA01000092.1	=	NW_019644527.1	Primary Assembly	6227	na
Contig60	unplaced-scaffold	na	na	PJAA01000093.1	=	NW_019644638.1	Primary Assembly	8943	na
Contig61	unplaced-scaffold	na	na	PJAA01000094.1	=	NW_019644747.1	Primary Assembly	5850	na
Contig62	unplaced-scaffold	na	na	PJAA01000095.1	=	NW_019644854.1	Primary Assembly	7773	na
Contig63	unplaced-scaffold	na	na	PJAA01000096.1	=	NW_019644972.1	Primary Assembly	21938	na
Contig64	unplaced-scaffold	na	na	PJAA01000097.1	=	NW_019645075.1	Primary Assembly	6747	na
Contig65	unplaced-scaffold	na	na	PJAA01000098.1	=	NW_019645176.1	Primary Assembly	8848	na
Contig66	unplaced-scaffold	na	na	PJAA01000099.1	=	NW_019645287.1	Primary Assembly	8341	na
Contig67	unplaced-scaffold	na	na	PJAA01000100.1	=	NW_019645380.1	Primary Assembly	9670	na
Contig68	unplaced-scaffold	na	na	PJAA01000101.1	=	NW_019645485.1	Primary Assembly	9698	na
Contig69	unplaced-scaffold	na	na	PJAA01000102.1	=	NW_019645573.1	Primary Assembly	8398	na
Contig70	unplaced-scaffold	na	na	PJAA01000103.1	=	NW_019645676.1	Primary Assembly	10939	na
Contig71	unplaced-scaffold	na	na	PJAA01000104.1	=	NW_019645755.1	Primary Assembly	20041	na
Contig72	unplaced-scaffold	na	na	PJAA01000105.1	=	NW_019645780.1	Primary Assembly	14469	na
Contig73	unplaced-scaffold	na	na	PJAA01000106.1	=	NW_019645806.1	Primary Assembly	12442	na
Contig74	unplaced-scaffold	na	na	PJAA01000107.1	=	NW_019645837.1	Primary Assembly	6016	na
Contig75	unplaced-scaffold	na	na	PJAA01000108.1	=	NW_019645858.1	Primary Assembly	10175	na
Contig76	unplaced-scaffold	na	na	PJAA01000109.1	=	NW_019645885.1	Primary Assembly	11020	na
Contig77	unplaced-scaffold	na	na	PJAA01000110.1	=	NW_019645913.1	Primary Assembly	10353	na
Contig78	unplaced-scaffold	na	na	PJAA01000111.1	=	NW_019645942.1	Primary Assembly	13187	na
Contig79	unplaced-scaffold	na	na	PJAA01000112.1	=	NW_019645967.1	Primary Assembly	17562	na
Contig80	unplaced-scaffold	na	na	PJAA01000113.1	=	NW_019645989.1	Primary Assembly	11805	na
Contig81	unplaced-scaffold	na	na	PJAA01000114.1	=	NW_019646016.1	Primary Assembly	9018	na
Contig82	unplaced-scaffold	na	na	PJAA01000115.1	=	NW_019646042.1	Primary Assembly	6626	na
Contig83	unplaced-scaffold	na	na	PJAA01000116.1	=	NW_019646073.1	Primary Assembly	11574	na
Contig84	unplaced-scaffold	na	na	PJAA01000117.1	=	NW_019646096.1	Primary Assembly	8026	na
Contig85	unplaced-scaffold	na	na	PJAA01000118.1	=	NW_019646123.1	Primary Assembly	12007	na
Contig86	unplaced-scaffold	na	na	PJAA01000119.1	=	NW_019646146.1	Primary Assembly	13492	na
Contig87	unplaced-scaffold	na	na	PJAA01000120.1	=	NW_019646171.1	Primary Assembly	7701	na
Contig88	unplaced-scaffold	na	na	PJAA01000121.1	=	NW_019646204.1	Primary Assembly	5609	na
Contig89	unplaced-scaffold	na	na	PJAA01000122.1	=	NW_019646229.1	Primary Assembly	6488	na
Contig90	unplaced-scaffold	na	na	PJAA01000123.1	=	NW_019646254.1	Primary Assembly	4011	na
Contig91	unplaced-scaffold	na	na	PJAA01000124.1	=	NW_019646280.1	Primary Assembly	7035	na
Contig92	unplaced-scaffold	na	na	PJAA01000125.1	=	NW_019646299.1	Primary Assembly	5516	na
Contig93	unplaced-scaffold	na	na	PJAA01000126.1	=	NW_019646325.1	Primary Assembly	5927	na
Contig94	unplaced-scaffold	na	na	PJAA01000127.1	=	NW_019646350.1	Primary Assembly	6856	na
Contig95	unplaced-scaffold	na	na	PJAA01000128.1	=	NW_019646378.1	Primary Assembly	3625	na
Contig96	unplaced-scaffold	na	na	PJAA01000129.1	=	NW_019646397.1	Primary Assembly	7382	na
Contig97	unplaced-scaffold	na	na	PJAA01000130.1	=	NW_019646400.1	Primary Assembly	3736	na
Contig98	unplaced-scaffold	na	na	PJAA01000131.1	=	NW_019646403.1	Primary Assembly	17060	na
Contig99	unplaced-scaffold	na	na	PJAA01000132.1	=	NW_019646409.1	Primary Assembly	7964	na
Contig100	unplaced-scaffold	na	na	PJAA01000133.1	=	NW_019641747.1	Primary Assembly	4530	na
Contig101	unplaced-scaffold	na	na	PJAA01000134.1	=	NW_019641753.1	Primary Assembly	9100	na
Contig102	unplaced-scaffold	na	na	PJAA01000135.1	=	NW_019641757.1	Primary Assembly	5511	na
Contig103	unplaced-scaffold	na	na	PJAA01000136.1	=	NW_019641762.1	Primary Assembly	5509	na
Contig104	unplaced-scaffold	na	na	PJAA01000137.1	=	NW_019641766.1	Primary Assembly	9232	na
Contig105	unplaced-scaffold	na	na	PJAA01000138.1	=	NW_019641769.1	Primary Assembly	4320	na
Contig106	unplaced-scaffold	na	na	PJAA01000139.1	=	NW_019641771.1	Primary Assembly	6165	na
Contig107	unplaced-scaffold	na	na	PJAA01000140.1	=	NW_019641778.1	Primary Assembly	4919	na
Contig108	unplaced-scaffold	na	na	PJAA01000141.1	=	NW_019641783.1	Primary Assembly	4141	na
Contig110	unplaced-scaffold	na	na	PJAA01000142.1	=	NW_019641791.1	Primary Assembly	5077	na
Contig111	unplaced-scaffold	na	na	PJAA01000143.1	=	NW_019641796.1	Primary Assembly	7334	na
Contig112	unplaced-scaffold	na	na	PJAA01000144.1	=	NW_019641799.1	Primary Assembly	3962	na
Contig113	unplaced-scaffold	na	na	PJAA01000145.1	=	NW_019641804.1	Primary Assembly	5736	na
Contig114	unplaced-scaffold	na	na	PJAA01000146.1	=	NW_019641806.1	Primary Assembly	121844	na
Contig115	unplaced-scaffold	na	na	PJAA01000147.1	=	NW_019641808.1	Primary Assembly	5744	na
Contig116	unplaced-scaffold	na	na	PJAA01000148.1	=	NW_019641810.1	Primary Assembly	4375	na
Contig117	unplaced-scaffold	na	na	PJAA01000149.1	=	NW_019641812.1	Primary Assembly	10308	na
Contig118	unplaced-scaffold	na	na	PJAA01000150.1	=	NW_019641814.1	Primary Assembly	7156	na
Contig119	unplaced-scaffold	na	na	PJAA01000151.1	=	NW_019641818.1	Primary Assembly	8385	na
Contig120	unplaced-scaffold	na	na	PJAA01000152.1	=	NW_019641825.1	Primary Assembly	5515	na
Contig121	unplaced-scaffold	na	na	PJAA01000153.1	=	NW_019641828.1	Primary Assembly	3546	na
Contig122	unplaced-scaffold	na	na	PJAA01000154.1	=	NW_019641835.1	Primary Assembly	5692	na
Contig123	unplaced-scaffold	na	na	PJAA01000155.1	=	NW_019641842.1	Primary Assembly	5298	na
Contig124	unplaced-scaffold	na	na	PJAA01000156.1	=	NW_019641843.1	Primary Assembly	11877	na
Contig125	unplaced-scaffold	na	na	PJAA01000157.1	=	NW_019641848.1	Primary Assembly	3949	na
Contig126	unplaced-scaffold	na	na	PJAA01000158.1	=	NW_019641853.1	Primary Assembly	3436	na
Contig127	unplaced-scaffold	na	na	PJAA01000159.1	=	NW_019641856.1	Primary Assembly	4528	na
Contig128	unplaced-scaffold	na	na	PJAA01000160.1	=	NW_019641862.1	Primary Assembly	4926	na
Contig129	unplaced-scaffold	na	na	PJAA01000161.1	=	NW_019641866.1	Primary Assembly	5056	na
Contig130	unplaced-scaffold	na	na	PJAA01000162.1	=	NW_019641873.1	Primary Assembly	6682	na
Contig131	unplaced-scaffold	na	na	PJAA01000163.1	=	NW_019641880.1	Primary Assembly	6334	na
Contig132	unplaced-scaffold	na	na	PJAA01000164.1	=	NW_019641883.1	Primary Assembly	14815	na
Contig133	unplaced-scaffold	na	na	PJAA01000165.1	=	NW_019641888.1	Primary Assembly	4014	na
Contig134	unplaced-scaffold	na	na	PJAA01000166.1	=	NW_019641891.1	Primary Assembly	4174	na
Contig135	unplaced-scaffold	na	na	PJAA01000167.1	=	NW_019641899.1	Primary Assembly	8045	na
Contig136	unplaced-scaffold	na	na	PJAA01000168.1	=	NW_019641904.1	Primary Assembly	6490	na
Contig137	unplaced-scaffold	na	na	PJAA01000169.1	=	NW_019641909.1	Primary Assembly	9879	na
Contig138	unplaced-scaffold	na	na	PJAA01000170.1	=	NW_019641915.1	Primary Assembly	7278	na
Contig139	unplaced-scaffold	na	na	PJAA01000171.1	=	NW_019641918.1	Primary Assembly	4822	na
Contig140	unplaced-scaffold	na	na	PJAA01000172.1	=	NW_019641925.1	Primary Assembly	6346	na
Contig141	unplaced-scaffold	na	na	PJAA01000173.1	=	NW_019641927.1	Primary Assembly	5718	na
Contig142	unplaced-scaffold	na	na	PJAA01000174.1	=	NW_019641930.1	Primary Assembly	4206	na
Contig143	unplaced-scaffold	na	na	PJAA01000175.1	=	NW_019641932.1	Primary Assembly	4397	na
Contig144	unplaced-scaffold	na	na	PJAA01000176.1	=	NW_019641935.1	Primary Assembly	7915	na
Contig145	unplaced-scaffold	na	na	PJAA01000177.1	=	NW_019641940.1	Primary Assembly	5236	na
Contig146	unplaced-scaffold	na	na	PJAA01000178.1	=	NW_019641943.1	Primary Assembly	3670	na
Contig147	unplaced-scaffold	na	na	PJAA01000179.1	=	NW_019641947.1	Primary Assembly	6171	na
Contig148	unplaced-scaffold	na	na	PJAA01000180.1	=	NW_019641950.1	Primary Assembly	3531	na
Contig149	unplaced-scaffold	na	na	PJAA01000181.1	=	NW_019641953.1	Primary Assembly	4519	na
Contig150	unplaced-scaffold	na	na	PJAA01000182.1	=	NW_019641958.1	Primary Assembly	5473	na
Contig151	unplaced-scaffold	na	na	PJAA01000183.1	=	NW_019641962.1	Primary Assembly	4105	na
Contig152	unplaced-scaffold	na	na	PJAA01000184.1	=	NW_019641968.1	Primary Assembly	4171	na
Contig153	unplaced-scaffold	na	na	PJAA01000185.1	=	NW_019641972.1	Primary Assembly	7910	na
Contig154	unplaced-scaffold	na	na	PJAA01000186.1	=	NW_019641979.1	Primary Assembly	5976	na
Contig155	unplaced-scaffold	na	na	PJAA01000187.1	=	NW_019641981.1	Primary Assembly	10629	na
Contig156	unplaced-scaffold	na	na	PJAA01000188.1	=	NW_019641985.1	Primary Assembly	4517	na
Contig157	unplaced-scaffold	na	na	PJAA01000189.1	=	NW_019641989.1	Primary Assembly	7297	na
Contig158	unplaced-scaffold	na	na	PJAA01000190.1	=	NW_019641992.1	Primary Assembly	7060	na
Contig159	unplaced-scaffold	na	na	PJAA01000191.1	=	NW_019641996.1	Primary Assembly	6745	na
Contig160	unplaced-scaffold	na	na	PJAA01000192.1	=	NW_019641998.1	Primary Assembly	3759	na
Contig161	unplaced-scaffold	na	na	PJAA01000193.1	=	NW_019641999.1	Primary Assembly	3933	na
Contig162	unplaced-scaffold	na	na	PJAA01000194.1	=	NW_019642002.1	Primary Assembly	11138	na
Contig163	unplaced-scaffold	na	na	PJAA01000195.1	=	NW_019642003.1	Primary Assembly	4473	na
Contig164	unplaced-scaffold	na	na	PJAA01000196.1	=	NW_019642009.1	Primary Assembly	4886	na
Contig165	unplaced-scaffold	na	na	PJAA01000197.1	=	NW_019642014.1	Primary Assembly	4436	na
Contig166	unplaced-scaffold	na	na	PJAA01000198.1	=	NW_019642016.1	Primary Assembly	4125	na
Contig167	unplaced-scaffold	na	na	PJAA01000199.1	=	NW_019642022.1	Primary Assembly	4471	na
Contig168	unplaced-scaffold	na	na	PJAA01000200.1	=	NW_019642029.1	Primary Assembly	4130	na
Contig169	unplaced-scaffold	na	na	PJAA01000201.1	=	NW_019642031.1	Primary Assembly	4557	na
Contig170	unplaced-scaffold	na	na	PJAA01000202.1	=	NW_019642039.1	Primary Assembly	3979	na
Contig171	unplaced-scaffold	na	na	PJAA01000203.1	=	NW_019642042.1	Primary Assembly	6414	na
Contig172	unplaced-scaffold	na	na	PJAA01000204.1	=	NW_019642045.1	Primary Assembly	4062	na
Contig173	unplaced-scaffold	na	na	PJAA01000205.1	=	NW_019642048.1	Primary Assembly	5393	na
Contig174	unplaced-scaffold	na	na	PJAA01000206.1	=	NW_019642053.1	Primary Assembly	4105	na
Contig175	unplaced-scaffold	na	na	PJAA01000207.1	=	NW_019642058.1	Primary Assembly	7821	na
Contig176	unplaced-scaffold	na	na	PJAA01000208.1	=	NW_019642063.1	Primary Assembly	6855	na
Contig177	unplaced-scaffold	na	na	PJAA01000209.1	=	NW_019642064.1	Primary Assembly	3964	na
Contig178	unplaced-scaffold	na	na	PJAA01000210.1	=	NW_019642066.1	Primary Assembly	7514	na
Contig179	unplaced-scaffold	na	na	PJAA01000211.1	=	NW_019642069.1	Primary Assembly	4851	na
Contig180	unplaced-scaffold	na	na	PJAA01000212.1	=	NW_019642076.1	Primary Assembly	13248	na
Contig181	unplaced-scaffold	na	na	PJAA01000213.1	=	NW_019642079.1	Primary Assembly	6615	na
Contig182	unplaced-scaffold	na	na	PJAA01000214.1	=	NW_019642081.1	Primary Assembly	8524	na
Contig183	unplaced-scaffold	na	na	PJAA01000215.1	=	NW_019642088.1	Primary Assembly	3947	na
Contig184	unplaced-scaffold	na	na	PJAA01000216.1	=	NW_019642093.1	Primary Assembly	6470	na
Contig185	unplaced-scaffold	na	na	PJAA01000217.1	=	NW_019642098.1	Primary Assembly	5505	na
Contig186	unplaced-scaffold	na	na	PJAA01000218.1	=	NW_019642100.1	Primary Assembly	4813	na
Contig187	unplaced-scaffold	na	na	PJAA01000219.1	=	NW_019642104.1	Primary Assembly	4197	na
Contig188	unplaced-scaffold	na	na	PJAA01000220.1	=	NW_019642110.1	Primary Assembly	5452	na
Contig189	unplaced-scaffold	na	na	PJAA01000221.1	=	NW_019642114.1	Primary Assembly	7894	na
Contig190	unplaced-scaffold	na	na	PJAA01000222.1	=	NW_019642120.1	Primary Assembly	3169	na
Contig191	unplaced-scaffold	na	na	PJAA01000223.1	=	NW_019642125.1	Primary Assembly	7333	na
Contig192	unplaced-scaffold	na	na	PJAA01000224.1	=	NW_019642129.1	Primary Assembly	26187	na
Contig193	unplaced-scaffold	na	na	PJAA01000225.1	=	NW_019642132.1	Primary Assembly	9418	na
Contig194	unplaced-scaffold	na	na	PJAA01000226.1	=	NW_019642133.1	Primary Assembly	4083	na
Contig195	unplaced-scaffold	na	na	PJAA01000227.1	=	NW_019642138.1	Primary Assembly	3725	na
Contig196	unplaced-scaffold	na	na	PJAA01000228.1	=	NW_019642141.1	Primary Assembly	8582	na
Contig197	unplaced-scaffold	na	na	PJAA01000229.1	=	NW_019642147.1	Primary Assembly	3897	na
Contig198	unplaced-scaffold	na	na	PJAA01000230.1	=	NW_019642149.1	Primary Assembly	3908	na
Contig199	unplaced-scaffold	na	na	PJAA01000231.1	=	NW_019642154.1	Primary Assembly	8251	na
Contig200	unplaced-scaffold	na	na	PJAA01000232.1	=	NW_019642158.1	Primary Assembly	5008	na
Contig201	unplaced-scaffold	na	na	PJAA01000233.1	=	NW_019642160.1	Primary Assembly	15810	na
Contig202	unplaced-scaffold	na	na	PJAA01000234.1	=	NW_019642163.1	Primary Assembly	5125	na
Contig203	unplaced-scaffold	na	na	PJAA01000235.1	=	NW_019642167.1	Primary Assembly	6683	na
Contig204	unplaced-scaffold	na	na	PJAA01000236.1	=	NW_019642168.1	Primary Assembly	4523	na
Contig205	unplaced-scaffold	na	na	PJAA01000237.1	=	NW_019642173.1	Primary Assembly	4503	na
Contig206	unplaced-scaffold	na	na	PJAA01000238.1	=	NW_019642178.1	Primary Assembly	4648	na
Contig207	unplaced-scaffold	na	na	PJAA01000239.1	=	NW_019642179.1	Primary Assembly	6292	na
Contig208	unplaced-scaffold	na	na	PJAA01000240.1	=	NW_019642185.1	Primary Assembly	5950	na
Contig209	unplaced-scaffold	na	na	PJAA01000241.1	=	NW_019642189.1	Primary Assembly	4499	na
